,Unnamed: 0,Unnamed: 0.1,ID,User,Date,Text,Latitude,Longitude,Sentiment,frase
1080,1080,1080,1.09244109662865e+18,Hildiux_75,2019-02-04T15:13:48.000Z,Ya no puedo más!! 🐖🐖 https://t.co/Cgt1BR2HaK,19.318042,-99.2480095,negativo,ya no puedo más
5774,5774,5774,1.15094786047456e+18,nydialilian,2019-07-16T01:58:48.000Z,"@YaEsPersonal Ya estaré muerta, puedes ir a reclamarme ahi, hacer una escena y poner la rola por tus huevos, estaria mamalon...",25.6417185,-100.2935915,negativo,
10370,10370,10370,1.20025030880424e+18,RaquelBaarajas,2019-11-29T03:09:07.000Z,Ya no puedo más,26.8782035,-101.220857,negativo,ya no puedo más
5793,5793,5793,1.15120395916566e+18,Fabs_Mendoza,2019-07-16T18:56:26.000Z,¿Porque hay un video mío bien pedo sentado en el suelo hablando con un perro? JAAJQJAJAJAJAJAJAJAJAJAJAJAJAJAJAJQJJQAJQJQJAJAJAJAJAJAJA Ya no quiero ser yo,19.432836,-99.153366,positivo,no quiero ser yo
6164,6164,6164,1.15522144741089e+18,DiegoJrzr6,2019-07-27T21:00:30.000Z,Para morir solo se necesita estar vivo ✌🏻,18.291262,-93.341606,indeterminado,morir solo
5150,5150,5150,1.14338857288552e+18,JPeraltaH,2019-06-25T05:20:53.000Z,"@tatianotzin No te vas a morir, solo que una parte del producto resultante del proceso digestivo, no será biodegradable... 😬",19.318042,-99.2480095,negativo,
8037,8037,8037,1.17623894330782e+18,juliette_p21,2019-09-23T20:56:32.000Z,ya no puedo más,29.838495,-95.4464865,negativo,ya no puedo más
4358,4358,4358,1.13455745420799e+18,JessCaballero94,2019-05-31T20:29:10.000Z,"Perdón q los tenga muy abandonados d este lado pero he tenido muchos altibajos emocionales, algunos días estoy bien y otros estoy deseando morir 😪🤷 pero no sé alarmen, realmente nunca podría suicidarme. Espero pronto poder recuperarme y gracias a las personas que siguen aquí. https://t.co/hm5x6sho0K",25.6417185,-100.2935915,negativo,suicidarme
2936,2936,2936,1.12016026431632e+18,atomicmx,2019-04-22T02:59:53.000Z,"@trementyna Comí carnitas, no rifaron. Estoy deprimido porque es mi comida favorita",19.432836,-99.153366,positivo,deprimido
4971,4971,4971,1.14123374157199e+18,CelyRmz,2019-06-19T06:38:21.000Z,Me quiero morir alondra me odia,25.7817945,-97.8599755,negativo,quiero morir
4939,4939,4939,1.1410024080105e+18,michtld7,2019-06-18T15:19:07.000Z,Ya me quiero morir alv,20.790657,-103.4847745,negativo,quiero morir
778,778,778,1.08834257197641e+18,chefzaragozajr,2019-01-24T07:47:44.000Z,"Que culero que no pueda seguir a mis hijas en Twitter , me tienen bien bloqueado , así las cosas de un papá de 50 con 2 hijas de 22 y 19 , chale .",20.790657,-103.4847745,negativo,
451,451,451,1.08506061812056e+18,CastilloMaryfer,2019-01-15T06:26:25.000Z,"No quiero que se acabe mis vacaciones, pero ya quiero ver a mi amor😫❤️",29.838495,-95.4464865,positivo,quiero que se acabe
3906,3906,3906,1.1302131411937e+18,anacdvg,2019-05-19T20:46:25.000Z,apenas van a ser las 4 y ya quiero que se acabe el pinche domingo aburrido xd,22.270295,-97.916772,negativo,quiero que se acabe
2797,2797,2797,1.11837457029625e+18,Miss_huevotes,2019-04-17T04:44:10.000Z,Siento que mis amigos solo me buscan para tomar y realmente me hace falta ir por un café y contarles que me quiero morir...,19.318042,-99.2480095,negativo,quiero morir
4712,4712,4712,1.13830309295552e+18,carlosrudriguez,2019-06-11T04:33:00.000Z,"@bicivan @ReyPeatonMX Quien sabe, esas mega obras después ni sirven, ahí tienes el deprimido Mixcoac. Pero bueno ojalá emplearan la recaudación para algo útil, aunque tristemente lo dudo, la robadera está en los segundos pisos y pasos a desnivel.",19.432836,-99.153366,negativo,deprimido
6979,6979,6979,1.16480211359297e+18,Maarleeey,2019-08-23T07:30:39.000Z,Uno se pone bien deprimido por puro vato meko 🤣 pero ay tamos bien mekas 😂 ni pedo la vida sigue,31.1688935,-100.0768885,negativo,deprimido
9611,9611,9611,1.19235880560409e+18,luisafnv_,2019-11-07T08:31:06.000Z,"Estaba buscando fotos mías con el cabello corto (lo quiero así again) 2017 principios 2018 y wey, EN TODAS salgo con mi ex ptm ya me dio depresión me quiero morir te extraño x favor volvamos SE QUE SOMOS DIFERENTES Y AUNQUE TODO ESTÁ EN LA MENTE QUIEN MANDA ES EL CORAZÓN 🎶🥺",25.6766035,-100.196134,negativo,quiero morir
8242,8242,8242,1.17869043579699e+18,isisrsoriano,2019-09-30T15:17:53.000Z,"Siempre que siento que ya no puedo más veo esta foto, y pues ya puedo más 🥰 https://t.co/OnOcuEVgqv",20.676652,-103.335882,negativo,ya no puedo más
10231,10231,10231,1.19884290007285e+18,Mipetitlove,2019-11-25T05:56:35.000Z,Estamos por terminar apenas noviembre y ya quiero que termine el año no quiero repetir amargas navidades  así que espero un milagro https://t.co/ACQVnzYDY1,19.183953,-96.2293965,positivo,quiero que termine
