,Unnamed: 0,ID,User,Date,Text,Latitude,Longitude,Sentiment,frase
0,0,1.07989460300691e+18,ouhcrish,2019-01-01T00:18:31.000Z,Ya no puedo más:(,16.9589495,-99.7356495,negativo,ya no puedo más
1,1,1.07991434710585e+18,jorgea96,2019-01-01T01:36:58.000Z,"La verdad es que no siento nada de nostalgia, fue un año horrible y ya quiero que se acabe",22.270295,-97.916772,negativo,quiero que se acabe
2,2,1.07993441461053e+18,GiorgiannaA,2019-01-01T02:56:43.000Z,Me encanto este año 😍 todavía no quiero que se acabe,32.3328765,-116.929102,positivo,quiero que se acabe
3,3,1.07993662463139e+18,Cv85Kenny,2019-01-01T03:05:30.000Z,"@MartinVizcarraC Sr. Presidente esto no puede seguir y es imposible seguir haciéndole el juego a estos corruptos e inmorales, a grandes problemas grandes decisiones  y se tienen que tomar acciones inmediatas ante estos sucesos que deshonran a todos los peruanos de buena fe",23.6254185,-102.5580375,negativo,NaN
4,4,1.07994806396221e+18,JaelcSoni,2019-01-01T03:50:57.000Z,"No quiero estar aquí y tengo muchas ganas de llorar, solo sonrío porque no quiero que mi mamá se sienta mal.   SIEMPRE hay una razón para sonreír. :)",20.5845305,-87.346982,negativo,no quiero estar aquí
5,5,1.07994952111376e+18,baisent2002,2019-01-01T03:56:44.000Z,Quien de verdad me conoce sabe que tengo un genio de la chingada y más cuando me siento deprimido y fuera de lugar. Por algo este año he ganado más peso que amistades.,19.6302155,-99.130628,negativo,deprimido
6,6,1.07997071723035e+18,ofzg12,2019-01-01T05:20:58.000Z,@DavidAguilar970 @Yarelly_23 Quiero morir hediondo 🍑💨🍑💨🍑💨😬😬😬,32.3328765,-116.929102,negativo,quiero morir
7,7,1.07998429983362e+18,mtyrock,2019-01-01T06:14:56.000Z,Regalo 2 uvas que ya no puedo más!!! https://t.co/u6McJDrFH7,25.6417185,-100.2935915,negativo,ya no puedo más
8,8,1.07999999373239e+18,eduardo_carrera,2019-01-01T07:17:18.000Z,"Esta noche pido por todos los enfermos, por los que no tienen cómo quitarse el frío y hambre, por los que están deprimidos y tristes, por los secuestrados y sus familias, por todo aquel que necesite luz en su vida. Que este 2019 les abrace y sonría 😊",20.676652,-103.335882,negativo,deprimido
9,9,1.0800145721809e+18,jackieeglezz,2019-01-01T08:15:14.000Z,"Ya quiero que se acabe el 2019, ya estoy hasta la madre 🤣",24.165032,-103.5057845,negativo,quiero que se acabe
10,10,1.08002563438935e+18,Galilea0521,2019-01-01T08:59:11.000Z,Me quiero dormir pero estoy muy feliz no quiero que se acabe este día https://t.co/9JTV828BhW,25.6417185,-100.2935915,negativo,quiero que se acabe
